ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792635.392194,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392254,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392254,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392255,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392255,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392255,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394303,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394305,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394415,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394415,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394415,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394416,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394416,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394416,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.394416,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,448.0,11
1651792651.770653,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,60.0,12
1651792651.77145,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,155.0,12
1651792651.771479,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1381.0,12
1651792651.771656,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.77168,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771681,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771702,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
1651792651.771702,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,12
